# Paso Energía_Potencial Energía_Cinética Energía_Total
89 11.67461459805733 19.564496204610666 31.239110802667994
90 12.235879277482333 19.17094432840805 31.406823605890384
91 12.80948145005246 18.76314184107311 31.57262329112557
92 13.39455365386751 18.341890195308494 31.736443849176005
93 13.990203774367009 17.908016628133524 31.898220402500534
94 14.595516680607215 17.462372525811343 32.05788920641856
95 15.209555906747237 17.00583174242985 32.21538764917709
96 15.8313653754734 16.539288875456226 32.370654250929626
97 16.45997116001103 16.06365750166766 32.523628661678686
98 17.094383281299123 15.579868376937606 32.67425165823673
99 17.733597536837813 15.088867603426406 32.82246514026422
100 18.376597357658106 14.591614767787885 32.96821212544599
101 19.022355689811178 14.089081054059054 33.11143674387023
102 19.669836896729457 13.582247334948544 33.252084231678
103 20.317998678772227 13.072102245280403 33.39010092405263
104 20.965794006238724 12.559640241383688 33.525434247622414
105 21.612173062107363 12.045859650244566 33.658032712351925
106 22.256085190742866 11.531760712256354 33.78784590299922
107 22.896480848804906 11.018343621414239 33.914824470219145
108 23.532313554589035 10.506606566805015 34.03892012139405
109 24.162541832037647 9.997543779238327 34.160085611275974
110 24.786131145669852 9.492143586854324 34.278274732524174
111 25.402055822701556 8.991386483523662 34.39344230622522
112 26.009300958652272 8.496243213829139 34.50554417248141
113 26.606864302771825 8.007672878384192 34.61453718115602
114 27.193758119660494 7.526621063202023 34.720379182862516
115 27.76901102350559 7.054017996780268 34.82302902028586
116 28.331669781413233 6.590776738510043 34.92244651992328
117 28.88080108237601 6.137791401954982 35.018592484330995
118 29.41549326848721 5.695935416475653 35.11142868496286
119 29.93485802508695 5.266059830597561 35.20091785568451
120 30.438032026608802 4.848991660437141 35.287023687045945
121 30.924178534982545 4.445532286409605 35.36971082139215
122 31.392488947543775 4.056455901345771 35.448944848889546
123 31.84218429150109 3.6825080130418404 35.52469230454293
124 32.27251666211677 3.324404004157123 35.596920666273896
125 32.68277060186846 2.982827752259802 35.665598354128264
126 33.072264417975795 2.658430312700446 35.73069473067624
127 33.44035143579704 2.3518286668672577 35.7921801026643
128 33.786421185726056 2.0636045382462496 35.85002572397231
129 34.10990052135246 1.7943032785739215 35.90420379992638
130 34.410254666779664 1.544432826229917 35.95468749300958
131 34.68698819113716 1.314462738872726 36.00145093000989
132 34.93964590846305 1.1048233021731937 36.044469210636244
